time[s],LF_EXT-LF_FLX,LH_EXT-LH_FLX,RF_EXT-RF_FLX,RH_EXT-RH_FLX
0.561,-0.241869,0.973892,-0.590692,0
0.562,-0.249656,0.96969,-0.583945,0
0.563,-0.257582,0.965543,-0.577089,0
0.564,-0.26565,0.973526,-0.570122,0
0.565,-0.273859,0.98167,-0.563044,0
0.566,-0.282208,0.989978,-0.555853,0
0.567,-0.290701,0.994399,-0.548548,0
0.568,-0.299341,0.996907,-0.541127,0
0.569,-0.308052,0.999337,-0.53359,0
0.57,-0.316796,1.00169,-0.525934,0
0.571,-0.325575,1.00397,-0.518161,0
0.572,-0.334391,0.994152,-0.51027,0
0.573,-0.343246,0.984352,-0.502263,0
0.574,-0.35214,0.986647,-0.494141,0
0.575,-0.361076,0.988867,-0.485905,0
0.576,-0.370055,0.991014,-0.477554,0
0.577,-0.379079,0.993088,-0.46909,0
0.578,-0.388148,0.995089,-0.460514,0
0.579,-0.397264,0.997019,-0.451827,0
0.58,-0.406429,0.998878,-0.443028,0
0.581,-0.415644,1.00067,-0.434119,0
0.582,-0.42491,1.00239,-0.4251,0
0.583,-0.434229,0.992028,-0.415972,0
0.584,-0.443601,0.981702,-0.406735,0
0.585,-0.453028,0.983456,-0.39739,0
0.586,-0.462511,0.985141,-0.387937,0
0.587,-0.472052,0.98676,-0.378377,0
0.588,-0.481651,0.988311,-0.36871,0
0.589,-0.491309,0.989796,-0.358936,0
0.59,-0.501029,0.991215,-0.349057,0
0.591,-0.510809,0.99257,-0.339071,0
0.592,-0.520653,0.99386,-0.328981,0
0.593,-0.53056,0.995086,-0.318786,0
0.594,-0.540533,0.996249,-0.308485,0
0.595,-0.550571,0.99735,-0.298081,0
0.596,-0.560675,0.998389,-0.287572,0
0.597,-0.570848,0.999366,-0.27696,0
0.598,-0.581089,1.00028,-0.266244,0
0.599,-0.5914,1.00114,-0.255424,0
0.6,-0.601781,0.989934,-0.244502,0
0.601,-0.612234,0.978779,-0.233476,0
0.602,-0.622759,0.979699,-0.222347,0
0.603,-0.633357,0.98056,-0.211116,0
0.604,-0.644029,0.981362,-0.199782,0
0.605,-0.654775,0.982108,-0.18832,0
0.606,-0.665598,0.982796,-0.168851,0
0.607,-0.676497,0.983427,-0.149049,0
0.608,-0.687473,0.984003,-0.128911,0
0.609,-0.698529,0.984523,-0.108434,0
0.61,-0.709669,0.984988,-0.0876162,0
0.611,-0.720896,0.9854,-0.0664546,0
0.612,-0.732214,0.985758,-0.0449466,0
0.613,-0.743625,0.986062,-0.0230894,0
0.614,-0.755132,0.986314,-0.000880139,0
0.615,-0.76674,0.986515,0.021684,0
0.616,-0.77845,0.986663,0.0446061,0
0.617,-0.790266,0.986761,0.0678891,0
0.618,-0.802191,0.986809,0.091536,0
0.619,-0.814229,0.986807,0.11555,0
0.62,-0.826381,0.986756,0.130919,0
0.621,-0.838652,0.986656,0.140496,0
0.622,-0.850864,0.986508,0.149969,0
0.623,-0.862901,0.986313,0.15934,0
0.624,-0.874765,0.98607,0.168608,0
0.625,-0.886457,0.985781,0.177775,0
0.626,-0.897977,0.985446,0.186841,0
0.627,-0.909327,0.985065,0.195807,0
0.628,-0.920509,0.98464,0.204673,0
0.629,-0.931523,0.98417,0.213439,0
0.63,-0.942371,0.983656,0.222107,0
0.631,-0.953054,0.983099,0.230677,0
0.632,-0.963572,0.982499,0.239149,0
0.633,-0.973928,0.981857,0.247524,0
0.634,-0.984122,0.981172,0.255803,0
0.635,-0.994155,0.980446,0.263985,0
0.636,-1.00403,0.97968,0.272073,0
0.637,-1.01374,0.978873,0.280065,0
0.638,-1.01125,0.978026,0.287963,0
0.639,-1.00861,0.97714,0.295768,0
0.64,-1.00597,0.976214,0.303479,0
0.641,-1.00332,0.975251,0.311098,0
0.642,-1.00067,0.974249,0.318625,0
0.643,-0.998019,0.97321,0.326061,-0.00652725
0.644,-0.995368,0.972134,0.333405,-0.0182184
0.645,-1.00469,0.971021,0.340659,-0.0297906
0.646,-1.01386,0.969872,0.347823,-0.0412443
0.647,-1.01083,0.968687,0.354899,-0.0525803
0.648,-1.00765,0.967468,0.361885,-0.0637992
0.649,-1.00448,0.966213,0.368783,-0.0749014
0.65,-1.00133,0.964925,0.375594,-0.0858877
0.651,-0.998181,0.963602,0.382318,-0.0967587
0.652,-0.995045,0.962247,0.388955,-0.107515
0.653,-1.0039,0.960858,0.395506,-0.118157
0.654,-1.0126,0.959437,0.401972,-0.128686
0.655,-1.00912,0.957984,0.408353,-0.139101
0.656,-1.0055,0.956499,0.414649,-0.149405
0.657,-1.0019,0.954983,0.420862,-0.159596
0.658,-0.998325,0.953437,0.426992,-0.169677
0.659,-0.994768,0.95186,0.433039,-0.179647
0.66,-1.00321,0.950253,0.439003,-0.189508
0.661,-1.01151,0.948617,0.444887,-0.199259
0.662,-1.00763,0.946952,0.450689,-0.208901
0.663,-1.00363,0.945258,0.45641,-0.218436
0.664,-0.999664,0.943536,0.462052,-0.227863
0.665,-0.995722,0.941786,0.467614,-0.237183
0.666,-1.00381,0.940009,0.473098,-0.246397
0.667,-1.01175,0.938205,0.478503,-0.255505
0.668,-1.00751,0.936375,0.48383,-0.264509
0.669,-1.00316,0.934518,0.48908,-0.273408
0.67,-0.998849,0.932635,0.494253,-0.282203
0.671,-0.994572,0.930727,0.499349,-0.290895
0.672,-1.00232,0.928795,0.50437,-0.299485
0.673,-1.00993,0.926837,0.509316,-0.307973
0.674,-1.00538,0.924856,0.514187,-0.316359
0.675,-1.00073,0.92285,0.518985,-0.324645
